AccessibilityDye                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts 
executeRandom                        prod=3    tests=12   other=3   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/dye.ts docs/research/discord-alternatives/06d-bot-logic.md docs/research/monorepo-2.0/3-1-bot-frame-system-port-spec.md 
executeSwatch                        prod=3    tests=14   other=5   | prod: packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/swatch.test.ts apps/discord-worker/src/handlers/commands/swatch.ts docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md docs/versions.md packages/core/src/services/chara/chara-parser.ts 
findDyeByName                        prod=2    tests=9    other=5   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/budget/budget-calculator.ts docs/historical/web-app/20251122-DiscordBot/TESTING.md docs/historical/web-app/20251123-Optimization/PHASE1_COMPLETION.md 
getHarmonyTypeChoices                prod=2    tests=8    other=0   | prod: packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/index.ts | other: 
getLocalizedAcquisition              prod=4    tests=5    other=2   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts packages/bot-logic/src/localization.ts | other: apps/discord-worker/src/handlers/commands/budget.ts docs/research/monorepo-2.0/3-7-budget-13g-port-spec.md 
getLocalizedCategory                 prod=5    tests=12   other=6   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts packages/bot-logic/src/localization.ts | other: apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/commands/dye.test.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/i18n.test.ts 
getLocalizedCurrency                 prod=4    tests=5    other=0   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts packages/bot-logic/src/localization.ts | other: 
getLocalizedDyeName                  prod=30   tests=14   other=34  | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts packages/bot-logic/src/localization.ts | other: apps/discord-worker/src/handlers/commands/accessibility.test.ts apps/discord-worker/src/handlers/commands/budget.test.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.test.ts apps/discord-worker/src/handlers/commands/comparison.ts 
GradientInput                        prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
GradientResult                       prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
