abbreviateDyeName                    prod=6    tests=12   other=5   | prod: packages/core/src/index.ts packages/core/src/utils/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/svg/CLAUDE.md packages/svg/README.md 
CharaGearDye                         prod=4    tests=0    other=0   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-parser.ts | other: 
CharaGearModel                       prod=9    tests=0    other=5   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-models.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/chara/chara-resolver.ts | other: apps/api-worker/src/chara/resolver.ts apps/api-worker/src/chara/router.ts apps/api-worker/src/chara/types.ts apps/web-app/src/services/chara-resolve-service.ts docs/research/chara-equipment-resolution/README.md 
CharaGearSlotId                      prod=12   tests=0    other=5   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-models.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/chara/chara-resolver.ts | other: apps/api-worker/src/chara/resolver.ts apps/api-worker/src/chara/router.ts apps/api-worker/src/chara/types.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/services/chara-resolve-service.ts 
charaModelKey                        prod=2    tests=4    other=2   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-models.ts | other: apps/api-worker/docs/reference/chara.md apps/api-worker/src/chara/resolver.ts 
CharaSlotErrorCode                   prod=4    tests=0    other=1   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-resolver.ts | other: apps/web-app/src/components/chara-import.ts 
CharaSlotId                          prod=8    tests=0    other=1   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/chara/chara-resolver.ts | other: packages/bot-logic/src/commands/swatch.ts 
CharaSlotInertReason                 prod=6    tests=0    other=0   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/chara/chara-resolver.ts | other: 
CharaSlotVerdict                     prod=3    tests=0    other=0   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-resolver.ts | other: 
clamp                                prod=73   tests=39   other=16  | prod: packages/core/src/blending/conversions.ts packages/core/src/index.ts packages/core/src/services/chara/chara-parser.ts packages/core/src/services/chara/chara-resolver.ts packages/core/src/services/color/ColorblindnessSimulator.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/color/ColorManipulator.ts packages/core/src/services/color/RybColorMixer.ts packages/core/src/services/PaletteService.ts packages/core/src/utils/index.ts | other: apps/presets-api/src/handlers/presets.ts apps/presets-api/tests/handlers/presets.test.ts apps/web-app/src/components/__tests__/extractor-tool.test.ts apps/web-app/src/components/__tests__/image-zoom-controller.test.ts apps/web-app/src/components/v4/preset-card.ts 
classifyBandTier                     prod=2    tests=11   other=24  | prod: packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/budget.ts apps/web-app/src/components/__tests__/v4/locale-switch.test.ts apps/web-app/src/components/__tests__/v4/result-card.test.ts apps/web-app/src/components/budget-tool.ts 
