Env                                  prod=24   tests=13   other=176 | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/response.ts apps/api-worker/src/middleware/rate-limit.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts apps/api-worker/src/telemetry/router.ts apps/api-worker/src/types.ts apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/test-setup.ts apps/api-worker/src/universalis/types.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/buttons/preview-image.test.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/about.test.ts 
ErrorCode                            prod=63   tests=0    other=39  | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/api-error.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/middleware/rate-limit.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts apps/api-worker/src/telemetry/router.ts | other: apps/presets-api/CLAUDE.md apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/index.ts apps/presets-api/src/middleware/ban-check.ts 
errorResponse                        prod=1    tests=0    other=5   | prod: apps/api-worker/src/lib/response.ts | other: apps/image-worker/src/validators.ts apps/presets-api/src/utils/api-response.ts apps/presets-api/tests/utils/api-response.test.ts docs/brainstorming/discord-bot/command-reference-v4.md docs/historical/20251207-DiscordBotMigration/RISK_ASSESSMENT.md 
getRateLimitHeaders                  prod=3    tests=1    other=7   | prod: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts | other: docs/research/api/04-authentication-and-rate-limiting.md packages/worker-kit/CLAUDE.md packages/worker-kit/README.md packages/worker-kit/src/middleware/rate-limit.ts packages/worker-kit/src/rate-limiter/headers.test.ts 
GlassesRow                           prod=12   tests=0    other=0   | prod: apps/api-worker/src/chara/cache.ts apps/api-worker/src/chara/resolver.ts apps/api-worker/src/chara/router.ts apps/api-worker/src/chara/types.ts apps/api-worker/src/chara/xivapi.ts | other: 
hasActiveDyeFilters                  prod=3    tests=6    other=0   | prod: apps/api-worker/src/lib/validation.ts | other: 
iconAssetUrl                         prod=2    tests=4    other=0   | prod: apps/api-worker/src/chara/xivapi.ts | other: 
IdResolution                         prod=3    tests=0    other=0   | prod: apps/api-worker/src/lib/validation.ts | other: 
indexRows                            prod=3    tests=4    other=0   | prod: apps/api-worker/src/chara/resolver.ts apps/api-worker/src/chara/router.ts | other: 
isNameInUpstreamLists                prod=3    tests=0    other=0   | prod: apps/api-worker/src/universalis/config/datacenters.ts apps/api-worker/src/universalis/router.ts | other: 
isTelemetryPath                      prod=3    tests=2    other=0   | prod: apps/api-worker/src/middleware/rate-limit.ts | other: 
isValidDatacenterOrWorld             prod=3    tests=0    other=0   | prod: apps/api-worker/src/universalis/config/datacenters.ts apps/api-worker/src/universalis/router.ts | other: 
ItemNames                            prod=8    tests=0    other=0   | prod: apps/api-worker/src/chara/resolver.ts apps/api-worker/src/chara/types.ts | other: 
