A11yCardLabels                       prod=3    tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
placeGlyph                           prod=2    tests=0    other=0   | prod: packages/svg/src/frame.ts | other: 
PresetSwatchOptions                  prod=3    tests=2    other=1   | prod: packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: docs/specifications/preset-palettes.md 
RandomDyeRow                         prod=3    tests=3    other=1   | prod: packages/svg/src/index.ts packages/svg/src/random-dyes-grid.ts | other: packages/bot-logic/src/commands/dye-info.ts 
RandomDyesGridOptions                prod=3    tests=2    other=0   | prod: packages/svg/src/index.ts packages/svg/src/random-dyes-grid.ts | other: 
RandomGridLabels                     prod=3    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/random-dyes-grid.ts | other: 
rect                                 prod=86   tests=13   other=53  | prod: packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts packages/svg/src/palette-grid.ts packages/svg/src/preset-swatch.ts packages/svg/src/swatch-card.ts | other: apps/discord-worker/scripts/upload-emojis.ts apps/discord-worker/src/services/font-faces.test.ts apps/og-worker/src/services/font-faces.test.ts apps/og-worker/src/services/svg/band.test.ts apps/og-worker/src/services/svg/band.ts 
ROW_CAP                              prod=12   tests=1    other=4   | prod: packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts | other: apps/discord-worker/src/services/budget/budget-calculator.ts docs/research/monorepo-2.0/3-7-budget-13g-port-spec.md packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/swatch.ts 
swatch                               prod=64   tests=11   other=258 | prod: packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/preset-swatch.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md apps/api-worker/src/telemetry/schema.ts apps/discord-worker/CLAUDE.md apps/discord-worker/README.md apps/discord-worker/src/commands/registry.ts 
SwatchCardLabels                     prod=3    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/swatch-card.ts | other: 
SwatchCardOptions                    prod=3    tests=4    other=1   | prod: packages/svg/src/index.ts packages/svg/src/swatch-card.ts | other: docs/versions.md 
SwatchCardRow                        prod=3    tests=2    other=1   | prod: packages/svg/src/index.ts packages/svg/src/swatch-card.ts | other: packages/bot-logic/src/commands/swatch.ts 
text                                 prod=46   tests=81   other=499 | prod: packages/svg/src/base.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: .gitattributes .gitleaks.toml README.md apps/api-worker/CLAUDE.md apps/api-worker/docs/.vitepress/config.ts 
textWidth                            prod=19   tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts packages/svg/src/swatch-card.ts | other: 
THEME                                prod=13   tests=13   other=10  | prod: packages/svg/src/base.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: apps/web-app/src/services/theme-service.ts apps/web-app/src/shared/constants.ts apps/web-app/src/styles/themes.css docs/historical/20251211-v3UIRehaul/00-OVERVIEW.md docs/historical/index.md 
toolGlyph                            prod=22   tests=9    other=18  | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/swatch-card.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/band.test.ts apps/og-worker/src/services/svg/band.ts 
ToolGlyphName                        prod=7    tests=0    other=3   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/default-card.ts apps/web-app/src/shared/tool-icons.ts 
VisionType                           prod=2    tests=0    other=37  | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts apps/og-worker/CLAUDE.md apps/og-worker/src/index.ts apps/og-worker/src/og-params.ts apps/og-worker/src/services/svg/accessibility.ts 
