_resetPatternsForTesting             prod=1    tests=12   other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
ErrorCode                            prod=35   tests=8    other=41  | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/index.ts apps/presets-api/src/middleware/ban-check.ts apps/presets-api/src/utils/api-response.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/api-error.ts apps/api-worker/src/lib/validation.ts 
ErrorCodeType                        prod=1    tests=0    other=0   | prod: apps/presets-api/src/utils/api-response.ts | other: 
errorResponse                        prod=9    tests=4    other=5   | prod: apps/presets-api/src/utils/api-response.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/lib/response.ts apps/image-worker/src/validators.ts docs/brainstorming/discord-bot/command-reference-v4.md docs/historical/20251207-DiscordBotMigration/RISK_ASSESSMENT.md 
escapeRegex                          prod=4    tests=11   other=3   | prod: apps/presets-api/src/services/moderation-service.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/historical/20251214-CodeAudit/05-PRESETS-API.md 
EXAMPLE_LINK_HOSTS                   prod=3    tests=2    other=4   | prod: apps/presets-api/src/services/validation-service.ts | other: apps/web-app/src/shared/example-link.ts docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/specs/2026-08-10-preset-glamour-thumbnails-design.md packages/types/src/preset/community.ts 
FAILED_NOTIFICATION_RESOLVED_RETENTION_DAYS prod=2    tests=2    other=0   | prod: apps/presets-api/src/services/notification-service.ts | other: 
FAILED_NOTIFICATION_UNRESOLVED_RETENTION_DAYS prod=2    tests=2    other=0   | prod: apps/presets-api/src/services/notification-service.ts | other: 
FailedNotificationSummary            prod=4    tests=0    other=0   | prod: apps/presets-api/src/services/notification-service.ts | other: 
findDuplicatePreset                  prod=4    tests=6    other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-PresetRefinements/API_CHANGES.md 
findDuplicatePresetExcluding         prod=4    tests=4    other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: docs/historical/20251207-PresetRefinements/API_CHANGES.md docs/historical/20251207-PresetRefinements/PROGRESS.md 
forbiddenResponse                    prod=7    tests=3    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/utils/api-response.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
frProfanity                          prod=3    tests=5    other=0   | prod: apps/presets-api/src/data/profanity/fr.ts apps/presets-api/src/data/profanity/index.ts | other: 
generateDyeSignature                 prod=6    tests=11   other=0   | prod: apps/presets-api/src/services/preset-service.ts | other: 
getEventCountToday                   prod=4    tests=1    other=0   | prod: apps/presets-api/src/services/rate-limit-service.ts | other: 
getFeaturedPresets                   prod=3    tests=5    other=6   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: apps/web-app/src/services/__tests__/community-preset-service.integration.test.ts apps/web-app/src/services/community-preset-service.ts apps/web-app/src/services/hybrid-preset-service.ts docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md 
getNextResetUTC                      prod=5    tests=0    other=0   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/rate-limit-service.ts | other: 
getPendingPresets                    prod=3    tests=5    other=7   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts | other: apps/moderation-worker/src/handlers/commands/preset.test.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/preset-api.test.ts apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts 
getPresetById                        prod=9    tests=8    other=2   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/superpowers/plans/2026-08-10-preset-preview-images.md 
getPresetImageState                  prod=7    tests=0    other=3   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preview-image-service.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
getPresets                           prod=3    tests=17   other=18  | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api-v2.test.ts apps/discord-worker/src/services/preset-api.test.ts apps/discord-worker/src/services/preset-api.ts 
getPresetsByUser                     prod=3    tests=5    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md 
getRemainingSubmissions              prod=4    tests=7    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/rate-limit-service.ts | other: apps/web-app/src/services/preset-submission-service.ts 
getSubmissionCountToday              prod=4    tests=5    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/rate-limit-service.ts | other: docs/projects/presets-api/database.md 
getValidCategories                   prod=5    tests=0    other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/category-service.ts apps/presets-api/src/services/validation-service.ts | other: docs/projects/presets-api/database.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
internalErrorResponse                prod=6    tests=5    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/utils/api-response.ts | other: 
