__setTestEnvironment                 prod=1    tests=8    other=0   | prod: apps/web-app/src/shared/logger.ts | other: 
BaseComponent                        prod=63   tests=44   other=53  | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/base-component.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/collapsible-panel.ts apps/web-app/src/components/color-picker-display.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/dye-grid.ts apps/web-app/src/components/dye-search-box.ts apps/web-app/src/components/dye-selector.ts apps/web-app/src/components/empty-state.ts apps/web-app/src/components/export-sheet.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/image-upload-display.ts apps/web-app/src/components/image-zoom-controller.ts apps/web-app/src/components/market-board.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/modal-container.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/toast-container.ts apps/web-app/src/components/tutorial-spotlight.ts apps/web-app/src/components/v4/base-lit-component.ts apps/web-app/src/components/v4-layout.ts apps/web-app/src/services/tool-panel-builders.ts apps/web-app/src/shared/subscription-manager.ts | other: docs/historical/20251207-DeepDive/WEB_APP_ANALYSIS.md docs/historical/20251211-v3UIRehaul/00-OVERVIEW.md docs/historical/20251211-v3UIRehaul/01-ARCHITECTURE.md docs/historical/20251211-v3UIRehaul/06-PHASE0-AUDIT-RESULTS.md docs/historical/20251214-CodeAudit/02-WEB-APP.md 
BaseLitComponent                     prod=43   tests=13   other=3   | prod: apps/web-app/src/components/v4/base-lit-component.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/components/v4/display-options-v4.ts apps/web-app/src/components/v4/dye-filters-v4.ts apps/web-app/src/components/v4/dye-palette-drawer.ts apps/web-app/src/components/v4/preset-card.ts apps/web-app/src/components/v4/preset-detail.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/components/v4/range-slider-v4.ts apps/web-app/src/components/v4/result-card.ts apps/web-app/src/components/v4/share-button.ts apps/web-app/src/components/v4/toggle-switch-v4.ts apps/web-app/src/components/v4/v4-app-header.ts apps/web-app/src/components/v4/v4-color-wheel.ts apps/web-app/src/components/v4/v4-layout-shell.ts | other: docs/historical/20260115-v4-uiux-ideas/pre-release-audit/02-CODE-QUALITY-ANALYSIS.md docs/projects/web-app/components.md docs/superpowers/plans/2026-08-16-local-presets-5-1.md 
BETA_HEADERS_BLOCK                   prod=3    tests=4    other=1   | prod: apps/web-app/src/shared/beta-branding.ts | other: docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md 
BETA_ORIGIN                          prod=3    tests=7    other=0   | prod: apps/web-app/src/shared/beta-branding.ts | other: 
BETA_TITLE_PREFIX                    prod=4    tests=2    other=1   | prod: apps/web-app/src/shared/beta-branding.ts apps/web-app/src/shared/constants.ts | other: docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md 
blendColors                          prod=5    tests=9    other=15  | prod: apps/web-app/src/components/mixer-tool.ts apps/web-app/src/services/index.ts apps/web-app/src/services/mixer-blending-engine.ts | other: DEPRECATIONS.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/projects/web-app/components.md docs/projects/web-app/tools.md docs/research/discord-alternatives/06-shared-libraries.md 
BlendingConfig                       prod=2    tests=0    other=0   | prod: apps/web-app/src/services/mixer-blending-engine.ts | other: 
blendTwoColors                       prod=8    tests=12   other=0   | prod: apps/web-app/src/components/mixer-tool.ts apps/web-app/src/services/mixer-blending-engine.ts | other: 
brandHtmlForBeta                     prod=1    tests=24   other=1   | prod: apps/web-app/src/shared/beta-branding.ts | other: docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md 
BudgetConfig                         prod=6    tests=0    other=2   | prod: apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/projects/web-app/tools.md 
BudgetShareParams                    prod=2    tests=0    other=1   | prod: apps/web-app/src/services/share-service.ts | other: docs/projects/web-app/tools.md 
BudgetTool                           prod=14   tests=23   other=6   | prod: apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/v4-layout.ts | other: docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md docs/projects/web-app/components.md 
BudgetToolOptions                    prod=3    tests=0    other=0   | prod: apps/web-app/src/components/budget-tool.ts | other: 
BUILD_DATE                           prod=3    tests=1    other=0   | prod: apps/web-app/src/components/about-modal.ts apps/web-app/src/shared/constants.ts | other: 
buildMarketPanel                     prod=13   tests=27   other=1   | prod: apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/services/index.ts apps/web-app/src/services/tool-panel-builders.ts | other: docs/projects/web-app/components.md 
calculateColorDistance               prod=7    tests=16   other=0   | prod: apps/web-app/src/components/swatch-tool.ts apps/web-app/src/services/harmony-generator.ts apps/web-app/src/services/mixer-blending-engine.ts | other: 
calculateHueDeviance                 prod=5    tests=7    other=0   | prod: apps/web-app/src/components/harmony-tool.ts apps/web-app/src/services/harmony-generator.ts apps/web-app/src/services/index.ts | other: 
CameraDevice                         prod=3    tests=0    other=0   | prod: apps/web-app/src/services/camera-service.ts | other: 
cameraService                        prod=21   tests=64   other=1   | prod: apps/web-app/src/components/camera-preview-modal.ts apps/web-app/src/components/image-upload-display.ts apps/web-app/src/services/camera-service.ts apps/web-app/src/services/index.ts | other: docs/projects/web-app/components.md 
CameraService                        prod=9    tests=17   other=2   | prod: apps/web-app/src/services/camera-service.ts apps/web-app/src/services/index.ts | other: docs/historical/web-app/20251201-Optimize/08-HIDDEN-BUGS-REPORT.md docs/projects/web-app/components.md 
