DyeMatch                             prod=2    tests=0    other=6   | prod: apps/og-worker/src/services/svg/dye-helpers.ts | other: docs/brainstorming/CHARACTER_COLOR_MATCHER.md docs/projects/core/algorithms.md docs/projects/core/overview.md docs/projects/core/services.md docs/projects/core/types.md 
dyeService                           prod=17   tests=17   other=118 | prod: apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: apps/api-worker/src/lib/services.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts apps/api-worker/src/telemetry/schema.ts 
embed                                prod=63   tests=13   other=177 | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/og-embed.ts apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/translator.ts | other: DEPRECATIONS.md apps/api-worker/CLAUDE.md apps/discord-worker/CLAUDE.md apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/about.test.ts 
EmbedKey                             prod=3    tests=2    other=0   | prod: apps/og-worker/src/services/og-embed.ts | other: 
Env                                  prod=23   tests=2    other=187 | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/response.ts 
ExtractorOGOptions                   prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/types.ts | other: 
ExtractorParams                      prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
findClosestDyesWithDistance          prod=3    tests=10   other=0   | prod: apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/harmony.ts | other: 
fmtDelta                             prod=9    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/swatch.ts | other: 
FOOTER_H                             prod=6    tests=3    other=1   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: apps/discord-worker/src/services/budget/budget-calculator.ts 
