AppError                             prod=9    tests=47   other=28  | prod: packages/types/src/error/app-error.ts packages/types/src/error/index.ts packages/types/src/index.ts | other: apps/web-app/src/services/__tests__/storage-service.test.ts apps/web-app/src/services/theme-service.ts apps/web-app/src/shared/__tests__/error-handler.test.ts apps/web-app/src/shared/__tests__/types.test.ts apps/web-app/src/shared/error-handler.ts 
DiscordTokenResponse                 prod=3    tests=0    other=2   | prod: packages/types/src/auth/discord.ts packages/types/src/auth/index.ts packages/types/src/index.ts | other: apps/oauth/src/handlers/callback.ts apps/oauth/src/types.ts 
DiscordUser                          prod=3    tests=0    other=7   | prod: packages/types/src/auth/discord.ts packages/types/src/auth/index.ts packages/types/src/index.ts | other: apps/oauth/README.md apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/__tests__/token.test.ts apps/oauth/src/handlers/callback.ts apps/oauth/src/types.ts 
Dye                                  prod=23   tests=6    other=763 | prod: packages/types/src/character/index.ts packages/types/src/color/branded.ts packages/types/src/dye/dye.ts packages/types/src/dye/dye-filters.ts packages/types/src/dye/facewear.ts packages/types/src/dye/index.ts packages/types/src/error/app-error.ts packages/types/src/index.ts packages/types/src/localization/index.ts | other: .github/workflows/sync-dye-emojis.yml CLAUDE.md DEPRECATIONS.md LICENSE README.md 
DyeId                                prod=10   tests=4    other=43  | prod: packages/types/src/color/branded.ts packages/types/src/color/index.ts packages/types/src/index.ts | other: CLAUDE.md README.md apps/web-app/CLAUDE.md apps/web-app/README.md apps/web-app/src/components/__tests__/chara-import-file-guard.test.ts 
DyeTypeFilters                       prod=3    tests=0    other=17  | prod: packages/types/src/dye/dye-filters.ts packages/types/src/dye/index.ts packages/types/src/index.ts | other: apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/types/preferences.ts apps/web-app/src/shared/tool-config-types.ts 
DyeWithDistance                      prod=3    tests=0    other=5   | prod: packages/types/src/dye/dye.ts packages/types/src/dye/index.ts packages/types/src/index.ts | other: apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/v4/result-card.ts docs/historical/20251214-CodeAudit/09-SHARED-PACKAGES-TODO.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md docs/historical/web-app/20251202-Cleanup/CRITICAL-ISSUES-RESOLVED.md 
ErrorCode                            prod=5    tests=36   other=41  | prod: packages/types/src/error/app-error.ts packages/types/src/error/codes.ts packages/types/src/error/index.ts packages/types/src/index.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/api-error.ts apps/api-worker/src/lib/validation.ts 
ErrorSeverity                        prod=4    tests=2    other=1   | prod: packages/types/src/error/app-error.ts packages/types/src/error/index.ts packages/types/src/index.ts | other: packages/core/README.md 
FacewearColor                        prod=7    tests=1    other=13  | prod: packages/types/src/color/branded.ts packages/types/src/dye/dye.ts packages/types/src/dye/facewear.ts packages/types/src/dye/index.ts packages/types/src/index.ts | other: CLAUDE.md docs/index.md docs/maintainer/adding-dyes.md docs/projects/core/overview.md docs/projects/types/overview.md 
Gender                               prod=2    tests=0    other=37  | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/services/preferences.ts apps/discord-worker/src/types/preferences.ts apps/og-worker/src/types.ts 
HarmonyTypeKey                       prod=3    tests=0    other=7   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/translator.ts apps/web-app/src/components/v4/v4-color-wheel.ts docs/historical/web-app/20251127-Localization/IMPLEMENTATION-PLAN.md packages/core/src/services/LocalizationService.ts 
HexColor                             prod=9    tests=3    other=44  | prod: packages/types/src/color/branded.ts packages/types/src/color/index.ts packages/types/src/index.ts | other: CLAUDE.md README.md apps/web-app/CLAUDE.md apps/web-app/README.md apps/web-app/src/__tests__/mocks/services.ts 
HSL                                  prod=4    tests=0    other=56  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/commands/schemas.ts apps/stoat-worker/CLAUDE.md apps/web-app/CLAUDE.md apps/web-app/README.md 
HSV                                  prod=12   tests=0    other=155 | prod: packages/types/src/character/index.ts packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/dye/dye.ts packages/types/src/index.ts | other: apps/api-worker/docs/index.md apps/discord-worker/PRIVACY_POLICY.md apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/buttons/copy.test.ts apps/discord-worker/src/handlers/buttons/copy.ts 
Hue                                  prod=15   tests=3    other=78  | prod: packages/types/src/color/branded.ts packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: apps/discord-worker/src/commands/schemas.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/v4/result-card.ts apps/web-app/src/locales/en.json 
isValidSnowflake                     prod=7    tests=24   other=9   | prod: packages/types/src/auth/discord-snowflake.ts packages/types/src/auth/index.ts packages/types/src/index.ts | other: apps/discord-worker/src/utils/env-validation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/utils/env-validation.ts apps/oauth/src/handlers/xivauth.ts 
JWTPayload                           prod=3    tests=0    other=17  | prod: packages/types/src/auth/index.ts packages/types/src/auth/jwt.ts packages/types/src/index.ts | other: apps/oauth/CLAUDE.md apps/oauth/README.md apps/oauth/src/services/jwt-service.ts apps/oauth/src/types.ts apps/presets-api/src/middleware/auth.ts 
LAB                                  prod=8    tests=0    other=85  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/types/preferences.ts apps/og-worker/src/services/svg/mixer.ts apps/stoat-worker/CLAUDE.md 
LCH                                  prod=5    tests=0    other=15  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: apps/discord-worker/src/commands/schemas.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/tool-config-types.ts docs/research/api/01-overview-and-goals.md 
LocaleCode                           prod=5    tests=0    other=95  | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: DEPRECATIONS.md apps/api-worker/src/lib/dye-serializer.ts apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts 
LocaleData                           prod=2    tests=0    other=15  | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/moderation-worker/src/services/bot-i18n.ts docs/research/discord-alternatives/06c-bot-i18n.md docs/versions.md packages/bot-logic/CLAUDE.md packages/bot-logic/src/i18n/__tests__/locale-orphans.test.ts 
LocalePreference                     prod=2    tests=0    other=3   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: packages/core/CLAUDE.md packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.test.ts 
LocalizedDye                         prod=3    tests=0    other=1   | prod: packages/types/src/dye/dye.ts packages/types/src/dye/index.ts packages/types/src/index.ts | other: docs/historical/20251214-CodeAudit/09-SHARED-PACKAGES-TODO.md 
MATCH_QUALITY_TIERS                  prod=4    tests=4    other=1   | prod: packages/types/src/color/index.ts packages/types/src/color/match-quality.ts packages/types/src/index.ts | other: docs/versions.md 
MatchQualityKey                      prod=5    tests=0    other=2   | prod: packages/types/src/color/index.ts packages/types/src/color/match-quality.ts packages/types/src/index.ts | other: apps/discord-worker/src/handlers/commands/gradient.ts docs/versions.md 
Matrix3x3                            prod=6    tests=0    other=2   | prod: packages/types/src/color/colorblind.ts packages/types/src/color/index.ts | other: docs/historical/web-app/20251116-Phase12/PHASE_12_CHECKLIST.md docs/historical/web-app/20251116-Phase12/PHASE_12_ROADMAP.md 
ModerationLogEntry                   prod=3    tests=0    other=5   | prod: packages/types/src/api/index.ts packages/types/src/api/moderation.ts packages/types/src/index.ts | other: apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/types.ts apps/presets-api/tests/handlers/moderation.test.ts apps/presets-api/tests/types.test.ts 
ModerationResult                     prod=3    tests=0    other=6   | prod: packages/types/src/api/index.ts packages/types/src/api/moderation.ts packages/types/src/index.ts | other: apps/presets-api/src/services/moderation-service.ts apps/presets-api/src/types.ts apps/presets-api/tests/types.test.ts docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md 
ModerationStats                      prod=3    tests=0    other=2   | prod: packages/types/src/api/index.ts packages/types/src/api/moderation.ts packages/types/src/index.ts | other: apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts 
OKLAB                                prod=7    tests=0    other=55  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/types/preferences.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/stoat-worker/CLAUDE.md 
OKLCH                                prod=5    tests=0    other=24  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: apps/discord-worker/src/commands/schemas.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/tool-config-types.ts docs/brainstorming/discord-bot/command-reference-v4.md 
PresetCategory                       prod=14   tests=0    other=30  | prod: packages/types/src/index.ts packages/types/src/preset/community.ts packages/types/src/preset/core.ts packages/types/src/preset/index.ts packages/types/src/preset/request.ts | other: apps/discord-worker/src/commands/registry.test.ts apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts 
PresetData                           prod=3    tests=0    other=10  | prod: packages/types/src/index.ts packages/types/src/preset/core.ts packages/types/src/preset/index.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/presets.ts apps/presets-api/scripts/migrate-presets.ts apps/web-app/src/services/hybrid-preset-service.ts 
PresetEditDuplicateInfo              prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
PresetEditDuplicateResponse          prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
PresetEditErrorResponse              prod=4    tests=0    other=0   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: 
PresetEditRequest                    prod=3    tests=0    other=14  | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/request.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts 
PresetEditResponse                   prod=3    tests=0    other=8   | prod: packages/types/src/index.ts packages/types/src/preset/index.ts packages/types/src/preset/response.ts | other: apps/discord-worker/src/services/preset-api.ts apps/discord-worker/src/types/preset.ts apps/moderation-worker/src/types/preset.ts apps/presets-api/src/types.ts docs/historical/20251207-PresetRefinements/API_CHANGES.md 
