ALL_SUBRACES                     prod=3   tests=5    | prod files: apps/og-worker/src/services/svg/dye-helpers.ts | elsewhere: packages/core/src/services/__tests__/CharacterColorService.test.ts 
CharacterColorContext            prod=2   tests=0    | prod files: apps/og-worker/src/services/svg/dye-helpers.ts | elsewhere: 
CharacterColorLookup             prod=7   tests=0    | prod files: apps/og-worker/src/services/svg/dye-helpers.ts | elsewhere: 
findClosestDyesWithDistance      prod=3   tests=10   | prod files: apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/harmony.ts | elsewhere: 
DyeMatch                         prod=2   tests=0    | prod files: apps/og-worker/src/services/svg/dye-helpers.ts | elsewhere: docs/brainstorming/CHARACTER_COLOR_MATCHER.md docs/projects/core/algorithms.md docs/projects/core/overview.md docs/projects/core/services.md docs/projects/core/types.md 
deltaForAlgorithm                prod=10  tests=0    | prod files: apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/swatch.ts | elsewhere: 
ColorSheetCategory               prod=8   tests=0    | prod files: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/swatch.ts apps/og-worker/src/types.ts | elsewhere: 
CharacterGender                  prod=7   tests=0    | prod files: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/swatch.ts apps/og-worker/src/types.ts | elsewhere: 
getSheetName                     prod=3   tests=0    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts packages/core/src/services/localization/TranslationProvider.ts packages/core/src/services/localization/__tests__/TranslationProvider.optional-sections.test.ts 
generateHarmonyOGData            prod=2   tests=5    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
generateGradientOGData           prod=2   tests=6    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
generateMixerOGData              prod=2   tests=5    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
generateSwatchOGData             prod=2   tests=7    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
generateComparisonOGData         prod=2   tests=6    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
generateAccessibilityOGData      prod=2   tests=6    | prod files: apps/og-worker/src/og-data-generator.ts | elsewhere: 
detectCrawler                    prod=3   tests=19   | prod files: apps/og-worker/src/crawler-detector.ts | elsewhere: 
getCrawlerName                   prod=3   tests=3    | prod files: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/index.ts | elsewhere: 
OgDeckStrings                    prod=3   tests=0    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
ToolTagKey                       prod=3   tests=2    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
DeckLineKey                      prod=3   tests=2    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
OG_DECK                          prod=2   tests=5    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
TOOL_TAG                         prod=2   tests=3    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
OG_DECK_LINE                     prod=2   tests=3    | prod files: apps/og-worker/src/services/og-strings.ts | elsewhere: 
hexToRgb                         prod=1   tests=8    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/extractor.ts apps/web-app/src/components/__tests__/accessibility-tool.test.ts apps/web-app/src/components/__tests__/budget-tool.test.ts apps/web-app/src/components/__tests__/color-picker-display.test.ts 
getLuminance                     prod=1   tests=7    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: docs/research/discord-alternatives/06b-svg.md packages/svg/README.md packages/svg/src/base.test.ts packages/svg/src/base.ts packages/svg/src/index.ts 
getContrastTextColor             prod=2   tests=10   | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/base.ts | elsewhere: docs/research/discord-alternatives/06b-svg.md docs/research/monorepo-2.0/4-og-15e-band-port-spec.md packages/svg/README.md packages/svg/src/base.test.ts packages/svg/src/base.ts 
createSvgDocument                prod=1   tests=3    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: docs/research/discord-alternatives/06b-svg.md packages/svg/README.md packages/svg/src/base.test.ts packages/svg/src/base.ts packages/svg/src/index.test.ts 
FONTS                            prod=1   tests=5    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: apps/web-app/CLAUDE.md apps/web-app/src/__tests__/font-contract.test.ts apps/web-app/src/styles/globals.css docs/historical/20251207-DiscordBotMigration/FONTS.md docs/historical/20251207-DiscordBotMigration/README.md 
